,female_effect_size,female_p_value
vigil,0.0900447872136194,0.43545017233135885
vigilance,-0.20834629322350204,0.6632043638689811
vigilant,-0.25275348998360886,0.6948758260383241
vigilante,-0.9693142219015957,0.9731634444343465
vignette,-0.2806473600914704,0.7161242827293319
vigor,-0.7333954910457519,0.9264824118137601
vigorous,-0.4383265687790849,0.8123641522504983
viking,-0.5666534877897135,0.8724379558687292
vile,-0.2752184865311276,0.7095464217103411
villa,-0.4308858989781048,0.8081657207549837
village,-0.005892581879396902,0.5087166958040015
villager,-0.3857064761288607,0.7784052648071216
villain,-0.8632641469723991,0.9579662567157029
villainous,-0.9178218024874639,0.9667572581444525
vinaigrette,0.8644677068979202,0.04118610050711757
vindicate,-0.4092356922734903,0.7956993048342833
vindicated,-0.8065337219067084,0.9456589817182541
vindication,-1.0251239554554064,0.9804096148604848
vindictive,0.5299354925368218,0.14585434006579656
vine,-0.6313876757887572,0.8952132362881746
vinegar,0.4413929234944474,0.1859316673084116
vineyard,-0.5639089167234036,0.8722318835877184
vintage,0.7322709045632348,0.07659429064678036
vinyl,-0.12720957758537466,0.6038759004625183
viola,0.7823388523845198,0.05764710691358654
violate,0.3373287438756233,0.24409816994853095
violation,0.3808167412705917,0.22164166831955612
violence,-0.43667324977716465,0.8060791950788719
violent,-0.7697898610927316,0.9377464771090173
violently,-0.5209839829328721,0.8508534082337922
violet,1.3088251058968658,0.004560724358125823
violin,0.27668045778092615,0.29238188443783253
violinist,0.4346847771199448,0.19489306191037326
viper,-0.3614177784986352,0.7624139469827853
viral,0.07151798320123534,0.44338722004531217
virgin,0.6564519666073284,0.09658984411726701
virginal,0.8655003757555587,0.040549815901694486
virginity,1.000505927076716,0.02178627570742353
virility,-0.8631250641678448,0.9558233138858119
virology,0.08523419836143592,0.4366964942850188
virtual,0.43822980810870815,0.1887356972607872
virtually,-0.09662563968087468,0.5783062731492905
virtue,-0.06205145949512911,0.5479375751118865
virtuoso,-1.4106194878875455,0.9976088175780105
virtuous,0.16855465903107417,0.3653054083220293
